Jorma_Huhtala	1	1
Jorma_Huhtala	1	1
Jorma_Huhtala	1	1
Miguel_Hakim	1	Sim_Yong	1
Miguel_Hakim	1	Sim_Yong	1
Miguel_Hakim	1	Sim_Yong	1
Ross_Verba	1	Carson_Daly	1
Ross_Verba	1	Carson_Daly	2
Ross_Verba	1	Carson_Daly	1
Wolfgang_Schuessel	4	Kevin_Stallings	2
Wolfgang_Schuessel	3	Kevin_Stallings	1
Wolfgang_Schuessel	3	Kevin_Stallings	2
Joan_Dangerfield	1	Theo_Epstein	2
Joan_Dangerfield	1	Theo_Epstein	1
Joan_Dangerfield	1	Theo_Epstein	1
Patsy_Kensit	1	Sanjay_Chawla	1
Patsy_Kensit	1	Sanjay_Chawla	1
Patsy_Kensit	1	Sanjay_Chawla	1
Norman_Jewison	1	Lincoln_Chafee	1
Norman_Jewison	1	Lincoln_Chafee	1
Norman_Jewison	2	Lincoln_Chafee	1
Laura_Gobai	1	Chris_Dodd	1
Laura_Gobai	1	Chris_Dodd	1
Laura_Gobai	1	Chris_Dodd	1
Mike_Gable	1	James_Traficant	2
Mike_Gable	1	James_Traficant	1
Mike_Gable	1	James_Traficant	1
Arturo_Gatti	1	Robert_Horan	2
Arturo_Gatti	2	Robert_Horan	1
Arturo_Gatti	1	Robert_Horan	2
Colin_Cowie	1	Kevin_Spacey	2
Colin_Cowie	1	Kevin_Spacey	1
Colin_Cowie	1	Kevin_Spacey	5
Pernilla_Bjorn	1	Louis_Van_Gaal	1
Pernilla_Bjorn	1	Louis_Van_Gaal	1
Pernilla_Bjorn	1	Louis_Van_Gaal	1
Monique_Ferreira	1	Antonio_Trillanes	1
Monique_Ferreira	1	Antonio_Trillanes	3
Monique_Ferreira	1	Antonio_Trillanes	3
Pete_Aldridge	1	Alain_Cervantes	1
Pete_Aldridge	1	Alain_Cervantes	1
Pete_Aldridge	1	Alain_Cervantes	1
Sebastian_Cuattrin	1	Yoshiyuki_Kamei	1
Sebastian_Cuattrin	1	Yoshiyuki_Kamei	1
Sebastian_Cuattrin	1	Yoshiyuki_Kamei	1
Wilbert_Foy	1	Robbie_Naish	1
Wilbert_Foy	1	Robbie_Naish	1
Wilbert_Foy	1	Robbie_Naish	1
David_Sibleyk	1	Mark_Everson	1
David_Sibleyk	1	Mark_Everson	1
David_Sibleyk	1	Mark_Everson	1
Victoria_Clarke	2	Jerry_Regier	4
Victoria_Clarke	2	Jerry_Regier	1
Victoria_Clarke	5	Jerry_Regier	1
Jim_Piper	1	Mark_Cuban	2
Jim_Piper	1	Mark_Cuban	1
Jim_Piper	1	Mark_Cuban	2
Gil_Cates	1	Christian_Von_Wernich	1
Gil_Cates	1	Christian_Von_Wernich	1
Gil_Cates	1	Christian_Von_Wernich	1
Mireya_Moscoso	2	Assad_Ahmadi	1
Mireya_Moscoso	1	Assad_Ahmadi	1
Mireya_Moscoso	5	Assad_Ahmadi	1
Nuon_Chea	1	Anil_Ramsook	1
Nuon_Chea	1	Anil_Ramsook	1
Nuon_Chea	1	Anil_Ramsook	1
David_Brown	1	Gerry_Kelly	1
David_Brown	1	Gerry_Kelly	1
David_Brown	1	Gerry_Kelly	1
Ben_Broussard	1	Paula_Locke	1
Ben_Broussard	1	Paula_Locke	1
Ben_Broussard	1	Paula_Locke	1
Todd_Parrott	1	Hilda_Fortune	1
Todd_Parrott	1	Hilda_Fortune	1
Todd_Parrott	1	Hilda_Fortune	1
Jose_Luis_Chilavert	1	Marilyn_Monroe	2
Jose_Luis_Chilavert	1	Marilyn_Monroe	2
Jose_Luis_Chilavert	1	Marilyn_Monroe	1
James_Coburn	1	Ilie_Nastase	1
James_Coburn	1	Ilie_Nastase	1
James_Coburn	1	Ilie_Nastase	1
Harold_Scott	1	Ray_Sherman	1
Harold_Scott	1	Ray_Sherman	1
Harold_Scott	1	Ray_Sherman	1
Patrick_Clawsen	1	Suzanne_Haik_Terrell	1
Patrick_Clawsen	1	Suzanne_Haik_Terrell	1
Patrick_Clawsen	1	Suzanne_Haik_Terrell	1
Elinor_Caplan	2	Jose_Woldenberg	1
Elinor_Caplan	2	Jose_Woldenberg	1
Elinor_Caplan	1	Jose_Woldenberg	1
Guido_Westerwelle	1	Martin_Frost	1
Guido_Westerwelle	2	Martin_Frost	1
Guido_Westerwelle	1	Martin_Frost	1
Warren_Beatty	1	Herman_Moore	1
Warren_Beatty	2	Herman_Moore	1
Warren_Beatty	1	Herman_Moore	1
Suzanne_Haik_Terrell	1	Mohammad_Aktar	1
Suzanne_Haik_Terrell	1	Mohammad_Aktar	1
Suzanne_Haik_Terrell	1	Mohammad_Aktar	1
Keizo_Yamada	1	Charlize_Theron	1
Keizo_Yamada	1	Charlize_Theron	1
Keizo_Yamada	1	Charlize_Theron	1
Mitchell_Garabedian	1	Tommy_Haas	5
Mitchell_Garabedian	1	Tommy_Haas	2
Mitchell_Garabedian	1	Tommy_Haas	5
Lucio_Angulo	1	Mile_Mrksic	1
Lucio_Angulo	1	Mile_Mrksic	1
Lucio_Angulo	1	Mile_Mrksic	1
Peter_Mansbridge	1	Georgina_Bardach	1
Peter_Mansbridge	1	Georgina_Bardach	1
Peter_Mansbridge	1	Georgina_Bardach	1
Joey_Harrington	1	Kara_Lynn_Joyce	1
Joey_Harrington	1	Kara_Lynn_Joyce	1
Joey_Harrington	1	Kara_Lynn_Joyce	1
Gerhard_Schroeder	19	Saburo_Kawabuchi	2
Gerhard_Schroeder	83	Saburo_Kawabuchi	2
Gerhard_Schroeder	79	Saburo_Kawabuchi	2
Mercedes_Amor	1	Demi_Moore	4
Mercedes_Amor	1	Demi_Moore	2
Mercedes_Amor	1	Demi_Moore	4
Don_Hewitt	1	Nick_Markakis	1
Don_Hewitt	1	Nick_Markakis	1
Don_Hewitt	1	Nick_Markakis	1
Marc_Bulger	1	Richard_Penniman	1
Marc_Bulger	1	Richard_Penniman	1
Marc_Bulger	1	Richard_Penniman	1
Gene_Keady	1	Jean-Pierre_Raffarin	2
Gene_Keady	1	Jean-Pierre_Raffarin	6
Gene_Keady	1	Jean-Pierre_Raffarin	3
Rob_Niedermayer	1	Marat_Safin	1
Rob_Niedermayer	1	Marat_Safin	3
Rob_Niedermayer	1	Marat_Safin	3
Charley_Armey	1	Ibrahim_Haddad	1
Charley_Armey	1	Ibrahim_Haddad	1
Charley_Armey	1	Ibrahim_Haddad	1
Joey_Buttafuoco	1	Gen_Meredith	1
Joey_Buttafuoco	1	Gen_Meredith	1
Joey_Buttafuoco	1	Gen_Meredith	1
Aaron_Pena	1	Larry_Ralston	1
Aaron_Pena	1	Larry_Ralston	1
Aaron_Pena	1	Larry_Ralston	1
Yuvraj_Singh	1	Joseph_Nacchio	1
Yuvraj_Singh	1	Joseph_Nacchio	1
Yuvraj_Singh	1	Joseph_Nacchio	1
Chick_Hearn	3	Michael_Friedman	1
Chick_Hearn	3	Michael_Friedman	1
Chick_Hearn	2	Michael_Friedman	1
Len_Jenoff	1	Melvin_Talbert	1
Len_Jenoff	1	Melvin_Talbert	1
Len_Jenoff	2	Melvin_Talbert	1
Paul_Coppin	2	Paul_McNulty	2
Paul_Coppin	2	Paul_McNulty	1
Paul_Coppin	2	Paul_McNulty	1
Pete_Gillen	1	Russ_Ortiz	1
Pete_Gillen	1	Russ_Ortiz	1
Pete_Gillen	1	Russ_Ortiz	1
Princess_Maxima	1	Ian_Thorpe	6
Princess_Maxima	1	Ian_Thorpe	7
Princess_Maxima	1	Ian_Thorpe	9
Johnny_Depp	2	Maxim_Afinogenov	1
Johnny_Depp	2	Maxim_Afinogenov	1
Johnny_Depp	1	Maxim_Afinogenov	1
Mario_Lobo_Zagallo	1	Ralph_Klein	1
Mario_Lobo_Zagallo	1	Ralph_Klein	2
Mario_Lobo_Zagallo	1	Ralph_Klein	2
Tommy_Amaker	1	Igor_Ivanov	15
Tommy_Amaker	1	Igor_Ivanov	15
Tommy_Amaker	1	Igor_Ivanov	2
Maureen_Kanka	1	George_Tenet	2
Maureen_Kanka	1	George_Tenet	1
Maureen_Kanka	1	George_Tenet	1
Anthony_Lee_Johnson	1	Jan_De_Bont	1
Anthony_Lee_Johnson	1	Jan_De_Bont	1
Anthony_Lee_Johnson	1	Jan_De_Bont	1
Robert_Morvillo	1	Laura_Schlessinger	1
Robert_Morvillo	1	Laura_Schlessinger	1
Robert_Morvillo	1	Laura_Schlessinger	1
Hannah_Stockbauer	1	Barbara_Bach	1
Hannah_Stockbauer	1	Barbara_Bach	1
Hannah_Stockbauer	1	Barbara_Bach	1
Bill_Herrion	1	Katie_Harman	2
Bill_Herrion	1	Katie_Harman	1
Bill_Herrion	1	Katie_Harman	1
Carlos_Juarez	1	Stipe_Mesic	1
Carlos_Juarez	1	Stipe_Mesic	1
Carlos_Juarez	1	Stipe_Mesic	1
Aldo_Paredes	2	Markus_Beyer	1
Aldo_Paredes	1	Markus_Beyer	1
Aldo_Paredes	1	Markus_Beyer	1
Wang_Yingfan	2	Marie-Josee_Croze	1
Wang_Yingfan	1	Marie-Josee_Croze	1
Wang_Yingfan	3	Marie-Josee_Croze	1
Michael_Adams	1	Bill_Clinton	10
Michael_Adams	1	Bill_Clinton	25
Michael_Adams	1	Bill_Clinton	20
Joao_Rocha	1	Bruce_Arena	1
Joao_Rocha	1	Bruce_Arena	1
Joao_Rocha	1	Bruce_Arena	1
Abdul_Rahman	1	Carmen_Electra	4
Abdul_Rahman	1	Carmen_Electra	5
Abdul_Rahman	1	Carmen_Electra	2
Eva_Marie_Saint	1	Rob_Morrow	1
Eva_Marie_Saint	1	Rob_Morrow	1
Eva_Marie_Saint	1	Rob_Morrow	1
Jon_Kitna	1	Michael_Lechner	1
Jon_Kitna	1	Michael_Lechner	1
Jon_Kitna	1	Michael_Lechner	1
Paddy_Long	1	Makhdoom_Amin_Fahim	2
Paddy_Long	1	Makhdoom_Amin_Fahim	2
Paddy_Long	1	Makhdoom_Amin_Fahim	1
Mitch_Kupchak	1	Geovani_Lapentti	1
Mitch_Kupchak	1	Geovani_Lapentti	1
Mitch_Kupchak	1	Geovani_Lapentti	1
Tiger_Woods	1	Joe_Cocker	1
Tiger_Woods	7	Joe_Cocker	1
Tiger_Woods	4	Joe_Cocker	1
Max_Biaggi	1	Pio_Laghi	1
Max_Biaggi	1	Pio_Laghi	1
Max_Biaggi	1	Pio_Laghi	1
Liza_Minnelli	5	Michael_Wayne	1
Liza_Minnelli	3	Michael_Wayne	1
Liza_Minnelli	6	Michael_Wayne	1
Luis_Figo	3	Derek_Bond	1
Luis_Figo	4	Derek_Bond	1
Luis_Figo	3	Derek_Bond	1
Robert_Bonner	3	Calvin_Harrison	1
Robert_Bonner	3	Calvin_Harrison	1
Robert_Bonner	2	Calvin_Harrison	1
Jane_Russell	1	Khader_Rashid_Rahim	1
Jane_Russell	1	Khader_Rashid_Rahim	1
Jane_Russell	1	Khader_Rashid_Rahim	1
Jose_Woldenberg	1	Kiki_Vandeweghe	1
Jose_Woldenberg	1	Kiki_Vandeweghe	1
Jose_Woldenberg	1	Kiki_Vandeweghe	2
Madeleine_Webber	1	Slobodan_Milosevic	1
Madeleine_Webber	1	Slobodan_Milosevic	4
Madeleine_Webber	1	Slobodan_Milosevic	3
Tzipora_Obziler	1	Jeanne_Anne_Schroeder	1
Tzipora_Obziler	1	Jeanne_Anne_Schroeder	1
Tzipora_Obziler	1	Jeanne_Anne_Schroeder	1
Prince_Felipe	1	Peter_Struck	3
Prince_Felipe	1	Peter_Struck	4
Prince_Felipe	1	Peter_Struck	2
Bill_Cartwright	1	Mike_Montgomery	1
Bill_Cartwright	1	Mike_Montgomery	2
Bill_Cartwright	1	Mike_Montgomery	2
Elena_Bereznaya	1	Andy_Perez	1
Elena_Bereznaya	1	Andy_Perez	1
Elena_Bereznaya	1	Andy_Perez	1
Lee_Hong-ki	1	Tom_DeLay	1
Lee_Hong-ki	1	Tom_DeLay	1
Lee_Hong-ki	1	Tom_DeLay	1
John_Tyson	1	Bill_OReilly	1
John_Tyson	1	Bill_OReilly	1
John_Tyson	1	Bill_OReilly	1
Lech_Walesa	2	Sam_Bith	3
Lech_Walesa	2	Sam_Bith	3
Lech_Walesa	1	Sam_Bith	3
Ibrahim_Hilal	1	Guenter_Verheugen	1
Ibrahim_Hilal	1	Guenter_Verheugen	1
Ibrahim_Hilal	1	Guenter_Verheugen	1
Janis_Ruth_Coulter	1	Mike_Tyson	2
Janis_Ruth_Coulter	1	Mike_Tyson	1
Janis_Ruth_Coulter	1	Mike_Tyson	3
Lokendra_Bahadur_Chand	1	Max_von_Sydow	1
Lokendra_Bahadur_Chand	1	Max_von_Sydow	1
Lokendra_Bahadur_Chand	1	Max_von_Sydow	1
Jean-Pierre_Raffarin	4	Katalin_Kollat	1
Jean-Pierre_Raffarin	3	Katalin_Kollat	1
Jean-Pierre_Raffarin	1	Katalin_Kollat	1
Jennifer_Lopez	20	Tim_Duncan	2
Jennifer_Lopez	6	Tim_Duncan	4
Jennifer_Lopez	3	Tim_Duncan	1
Mohammed_Dahlan	1	Sarah_Hughes	2
Mohammed_Dahlan	1	Sarah_Hughes	4
Mohammed_Dahlan	1	Sarah_Hughes	1
Elaine_Stritch	1	Moon-So-ri	1
Elaine_Stritch	1	Moon-So-ri	1
Elaine_Stritch	1	Moon-So-ri	1
Prince_Willem-Alexander	3	Johnny_Hallyday	1
Prince_Willem-Alexander	2	Johnny_Hallyday	1
Prince_Willem-Alexander	2	Johnny_Hallyday	1
Frederick_Madden	1	Carla_Gugino	1
Frederick_Madden	1	Carla_Gugino	1
Frederick_Madden	1	Carla_Gugino	1
Mark_Hanson	1	Scott_Wolf	1
Mark_Hanson	1	Scott_Wolf	2
Mark_Hanson	1	Scott_Wolf	2
Eddie_Jordan	1	Takahiro_Mori	1
Eddie_Jordan	1	Takahiro_Mori	1
Eddie_Jordan	1	Takahiro_Mori	1
Mike_Bair	1	Fiona_Milne	1
Mike_Bair	1	Fiona_Milne	1
Mike_Bair	1	Fiona_Milne	1
Henry_Hyde	1	Gary_Williams	2
Henry_Hyde	1	Gary_Williams	2
Henry_Hyde	1	Gary_Williams	2
Tayyeb_Abdel_Rahim	1	Shannon_OBrien	2
Tayyeb_Abdel_Rahim	1	Shannon_OBrien	1
Tayyeb_Abdel_Rahim	1	Shannon_OBrien	1
Tom_Jones	2	Andrei_Mikhnevich	1
Tom_Jones	1	Andrei_Mikhnevich	1
Tom_Jones	2	Andrei_Mikhnevich	2
Joseph_Kabila	1	Van_Hilley	1
Joseph_Kabila	1	Van_Hilley	1
Joseph_Kabila	1	Van_Hilley	1
Jim_Harrick	2	Se_Hyuk_Joo	1
Jim_Harrick	1	Se_Hyuk_Joo	1
Jim_Harrick	1	Se_Hyuk_Joo	1
Eva_Mendes	1	John_Hartson	1
Eva_Mendes	1	John_Hartson	1
Eva_Mendes	1	John_Hartson	1
Etta_James	1	Jason_Gardner	1
Etta_James	1	Jason_Gardner	1
Etta_James	1	Jason_Gardner	1
Anne_Cavers	1	Chea_Sophara	1
Anne_Cavers	1	Chea_Sophara	1
Anne_Cavers	1	Chea_Sophara	1
Frank_Murkowski	1	Bill_Curry	1
Frank_Murkowski	1	Bill_Curry	1
Frank_Murkowski	1	Bill_Curry	1
Stuart_Knoll	1	Rick_Lu	1
Stuart_Knoll	1	Rick_Lu	1
Stuart_Knoll	1	Rick_Lu	1
Mara_Georges	1	Thomas_Malchow	1
Mara_Georges	1	Thomas_Malchow	1
Mara_Georges	1	Thomas_Malchow	1
Marc_Grossman	1	Szu_Yu_Chen	1
Marc_Grossman	2	Szu_Yu_Chen	1
Marc_Grossman	3	Szu_Yu_Chen	1
James_Hughes	1	Ingrid_Betancourt	1
James_Hughes	1	Ingrid_Betancourt	1
James_Hughes	1	Ingrid_Betancourt	1
Delphine_Chuillot	1	Sinead_OConnor	1
Delphine_Chuillot	1	Sinead_OConnor	1
Delphine_Chuillot	1	Sinead_OConnor	1
Tali_Imani	1	Stephen_Thompson	1
Tali_Imani	1	Stephen_Thompson	1
Tali_Imani	1	Stephen_Thompson	1
Ramona_Rispton	1	Geoff_Dixon	1
Ramona_Rispton	1	Geoff_Dixon	1
Ramona_Rispton	1	Geoff_Dixon	1
Biljana_Plavsic	3	Garth_Drabinsky	1
Biljana_Plavsic	3	Garth_Drabinsky	1
Biljana_Plavsic	1	Garth_Drabinsky	1
Allison_Searing	1	Hoda_Asfor	1
Allison_Searing	1	Hoda_Asfor	1
Allison_Searing	1	Hoda_Asfor	1
Tessa_Jowell	1	Lee_Hong-ki	1
Tessa_Jowell	1	Lee_Hong-ki	1
Tessa_Jowell	1	Lee_Hong-ki	1
Wen_Ho_Lee	1	Ain_Seppik	1
Wen_Ho_Lee	1	Ain_Seppik	1
Wen_Ho_Lee	1	Ain_Seppik	1
Mariano_Zabaleta	1	Lucio_Cecchinello	1
Mariano_Zabaleta	1	Lucio_Cecchinello	1
Mariano_Zabaleta	1	Lucio_Cecchinello	1
Richard_Paul_Evans	1	Rafael_Bielsa	1
Richard_Paul_Evans	1	Rafael_Bielsa	1
Richard_Paul_Evans	1	Rafael_Bielsa	1
Abraham_Foxman	1	David_Zeplowitz	1
Abraham_Foxman	1	David_Zeplowitz	1
Abraham_Foxman	1	David_Zeplowitz	1
Gunter_Pleuger	7	Tiffany_Limos	1
Gunter_Pleuger	1	Tiffany_Limos	1
Gunter_Pleuger	4	Tiffany_Limos	1
Roman_Polanski	2	Michelangelo_Antonioni	1
Roman_Polanski	1	Michelangelo_Antonioni	1
Roman_Polanski	6	Michelangelo_Antonioni	1
Lena_Katina	1	Jan_Pronk	1
Lena_Katina	1	Jan_Pronk	1
Lena_Katina	1	Jan_Pronk	1
Anjum_Hussain	1	Paek_Nam_Sun	1
Anjum_Hussain	1	Paek_Nam_Sun	1
Anjum_Hussain	1	Paek_Nam_Sun	1
Millicent_Martin	1	Islam_Karimov	1
Millicent_Martin	1	Islam_Karimov	1
Millicent_Martin	1	Islam_Karimov	1
Agnelo_Queiroz	1	Richard_Daley	1
Agnelo_Queiroz	1	Richard_Daley	1
Agnelo_Queiroz	1	Richard_Daley	1
Stefano_Accorsi	1	Steve_Cox	1
Stefano_Accorsi	2	Steve_Cox	1
Stefano_Accorsi	1	Steve_Cox	1
Cecile_de_France	1	Parthiv_Patel	1
Cecile_de_France	1	Parthiv_Patel	1
Cecile_de_France	1	Parthiv_Patel	1
Li_Peng	7	James_Caan	1
Li_Peng	1	James_Caan	1
Li_Peng	5	James_Caan	2
Phil_Donahue	1	Patti_Balgojevich	1
Phil_Donahue	1	Patti_Balgojevich	1
Phil_Donahue	1	Patti_Balgojevich	1
Freddy_Garcia	1	John_Daly_Jr	1
Freddy_Garcia	1	John_Daly_Jr	1
Freddy_Garcia	1	John_Daly_Jr	1
Eduard_Shevardnadze	1	Vojislav_Seselj	1
Eduard_Shevardnadze	2	Vojislav_Seselj	1
Eduard_Shevardnadze	2	Vojislav_Seselj	1
Mikulas_Dzurinda	2	Yuvraj_Singh	1
Mikulas_Dzurinda	1	Yuvraj_Singh	1
